0.01,4.41508928571,3.53625,4.51185840708,4.5201980198,4.64384279476,3.69815668203,3.75873786408,3.6595959596,3.95814977974,4.04273684211,3.27768786127,3.86370731707,4.42568720379,4.04323809524,4.51176470588,4.36460829493,3.90018867925,4.54316831683,3.92235849057,3.67292929293,4.46790909091,4.40805194805,4.06329113924,3.79510204082,4.65778761062,4.07862385321,4.17857819905,4.36462962963,4.36174273859,3.91890710383
0.02,13.4403991131,9.80338095238,12.4361711712,10.293006993,12.0616786571,9.03947619048,9.65366972477,11.7166513761,14.5560550459,9.83617433414,11.0188018433,10.0287058824,7.10076726343,7.72384428224,10.5533333333,8.79442211055,11.5467268623,10.9966507177,8.80465558195,14.1638548753,10.1182201405,10.3178876404,8.20128712871,11.8233333333,11.1353921569,7.12844327177,9.64078817734,12.7272888889,19.8416414687,9.02946882217
0.03,82.0187360595,156.863320755,169.394831461,76.5172101449,120.087946768,125.472696629,155.502769784,130.017053407,127.097027523,98.2516330275,140.425269017,160.253247706,107.899856115,131.692639138,84.3975412844,92.3860186916,108.371189591,69.2152680222,192.996043956,85.1853720508,121.710516605,154.743155963,101.969614679,111.540257827,153.406729323,143.002230216,127.774192377,72.6347486034,126.6032,150.16936803
0.04,304.423508772,272.756958855,223.425557587,223.41007326,312.297106227,195.241688555,233.001996303,216.199817851,324.174578755,289.900315789,290.690704225,291.439108734,285.776589698,203.430387324,285.725640074,177.641982301,245.835823009,247.808487085,288.797712177,270.87180212,286.149194139,294.569101124,251.579238754,245.132526316,260.572189781,234.534882883,314.787904412,229.715575868,245.902586207,257.793785714
0.05,348.378229755,388.487985075,350.428122744,412.544452424,369.372277992,374.85858473,376.912,328.66356261,323.936470588,423.344609929,346.216887299,328.126564885,332.466356877,371.235954198,361.295889908,393.569561905,330.74630597,394.594680851,406.785708955,411.955515371,391.439857651,370.686946984,395.423684211,415.003327103,381.643059701,354.288941606,383.350941385,371.32881295,402.962046679,390.862134831
0.06,427.680874317,400.214227941,453.0941527,453.278413284,439.40381295,411.030199637,447.481911765,370.321054422,493.385613383,426.508673469,456.700292505,444.285291971,380.673922652,435.978324226,457.011115242,433.82511194,403.052938931,404.425804067,488.969094203,465.816883117,450.076074766,400.212091388,428.617316637,429.970035461,438.937981651,396.778791209,410.956390977,407.973504274,428.896666667,406.08673913
0.07,458.854542254,463.576550459,447.733970588,463.650220588,411.525193929,460.981847826,472.565703971,424.872685512,449.53261426,496.039186691,474.513072824,423.242941176,483.163115942,440.94692029,456.728434622,463.540111111,456.601818182,480.307744361,494.030702087,408.907248577,448.844146789,460.26980531,498.61875,451.187047619,500.494113346,473.827460036,478.918168224,484.498481013,440.797714286,439.180729927
0.08,496.959711191,507.125825933,491.63037037,461.959099099,463.153241852,488.253309735,459.139964789,514.28990689,472.938073555,423.096928702,451.495164076,486.457769784,483.885582255,448.600389381,472.726170213,503.924283054,460.306964618,473.211391941,526.225074074,515.641622642,463.384792793,472.387526882,487.486336283,498.437355072,480.78217636,477.432784588,508.389398496,476.602445759,511.983725136,471.565992366
0.09,511.969943289,511.269964158,503.604322344,507.593486726,502.017985348,506.949925094,523.354706994,522.028294434,502.845367647,492.304827586,529.036515426,476.613854352,491.611036907,500.772258065,519.700359712,516.916523364,498.189818841,466.395913201,512.976102941,542.76443203,530.849608939,531.08284658,498.845314685,479.079214953,526.50626151,465.395834897,485.727783784,514.602656546,494.920426288,501.151666667
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
